DC,CODMUN,LONGITUD_E,LATITUD_ET,CODAUTO,CPRO,CMUN,NOMBRE,COMARCA,NOMBRE_COMARCA,MINMDT,MAXMDT,MEANMDT,MINPENDI,MAXPENDI,MEANPENDI,MINDISN10M,MAXDISN10M,MEANDISN10M,MINCARRETN,MAXCARRETN,MEANCARRETN,MINDISAUT,MAXDISAUT,MEANDISAUT,MINDISFERR,MAXDISFERR,MEANDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
9,39027,-4.1279202735,42.99275126375,06,39,027,Campoo de Enmedio,2,Campoo-Los Valles,0.8731971153846154,0.43028846153846156,0.7084056556490383,0.0,34.526546,9.379957,0.9825548586294216,0.723455252961236,0.8620350753277772,1.0,0.732477774652762,0.8938072128622583,1.0,0.8221186817583165,0.9253396725377864,0.9976131895871895,0.7468771281575415,0.8603403108728146,0.5657554477326205,0.6936111470480705,0.6364084603604542,0.6746501269556133,0.4553921557294936
1,39017,-4.001016717571429,43.02056514071428,06,39,017,Campoo de Yuso,2,Campoo-Los Valles,0.8473557692307693,0.5042067307692307,0.7418711490384615,0.0,33.572449,6.558114,0.8832233111913431,0.363295440867205,0.6233066729904103,0.9977144880756952,0.5645034820799782,0.7488355864774722,0.9517748451130764,0.3682722621556769,0.6694532778494023,0.8949034731292412,0.5519755890077308,0.686174986566118,0.6967500822316233,0.7506614079942968,0.6499794159665346,0.07180574542313982,0.4777758772516739
4,39032,-4.229098387625,43.01432907791667,06,39,032,Hermandad de Campoo de Suso,2,Campoo-Los Valles,0.8671875,0.0,0.5328521592548078,0.0,41.981731,13.731416,0.9515319601405426,0.35896009961679265,0.6875414296989477,0.9496647558123313,0.0,0.5217578722422452,0.96215386025158,0.2032304260191727,0.6374759723947725,0.9263143407073324,0.10292912546532174,0.5672458484055682,0.6042567538094025,0.2650621164348427,0.4498017915081226,0.20430999517816703,0.17426735198360965
4,39051,-4.075962222,43.08083049,06,39,051,Pesquera,2,Campoo-Los Valles,1.0,0.6508413461538461,0.8553363347355769,0.6129,44.565964,18.30196,0.7212875162962216,0.6307088040313641,0.675883684072266,0.999107256492238,0.8866001561926784,0.9419417399269259,0.999605994509843,0.8863362778275957,0.9508276106717598,1.0,0.8855603492080261,0.9450734116188806,1.0,0.4914042624087772,0.0,0.13414432664838158,0.64211757094073
1,39059,-4.137972222,43.00105556,06,39,059,Reinosa,2,Campoo-Los Valles,0.7920673076923077,0.75,0.780514375,0.0,9.966614,1.947525,1.0,0.9488976464766153,0.9754141336745383,0.9934295620415584,0.8963498399272665,0.9378286640664661,0.998339975878247,0.9317373955993703,0.9645755180401874,0.998753927230487,0.8981017395667464,0.9590429438523895,0.6001374845588656,1.0,1.0,1.0,1.0
1,39065,-4.01681421475,42.971345525,06,39,065,"Rozas de Valdearroyo, Las",2,Campoo-Los Valles,0.8137019230769231,0.6135817307692307,0.7535641436298076,0.0,28.537191,6.811106,0.8498860087235268,0.5396197118554493,0.6921788387306423,0.818529920631423,0.4734044696970494,0.6243089343771037,0.8535734096706019,0.5375764160759906,0.6847759596944267,0.7889901558547685,0.4945901538162153,0.6281597822181034,0.45309514236712845,0.8259336553039957,0.2874901564450676,0.1688083835595306,0.661433950650612
3,39070,-4.0296227065,43.0634419525,06,39,070,San Miguel de Aguayo,2,Campoo-Los Valles,0.8695913461538461,0.5024038461538461,0.7187522686298078,0.0,36.369904,12.52742,0.7366748493938924,0.48959574992807925,0.6190057506164457,0.9424581833495796,0.6521297315801716,0.7734029156330974,0.9138941799394048,0.6345587147370962,0.7800743122185012,0.9308793272218294,0.6108827171494324,0.773511375218887,0.9121299161376866,0.5650569514817058,0.3680915304382,0.0,0.6532062474142736
8,39077,-4.08130293575,43.057251915,06,39,077,Santiurde de Reinosa,2,Campoo-Los Valles,0.9585336538461539,0.5462740384615384,0.7720425474759616,0.274105,42.261524,15.83935,0.848416659032298,0.6720545381133591,0.7549833994341688,0.9995628575964342,0.7351469506821122,0.9078453212143323,0.9994281888298063,0.8510094231471865,0.9417849613438557,0.9998987595796369,0.7764781975008588,0.906550905880911,0.8986207539025363,0.4648870698554949,0.23363928520500726,0.38291944954294954,0.6983385235939008
1,39092,-4.1855281820000005,42.9057520415,06,39,092,Valdeolea,2,Campoo-Los Valles,0.7506009615384616,0.37740384615384615,0.6836963960336538,0.0,28.227594,7.237073,0.8214655284133033,0.46444022371864113,0.6619040083001386,0.9988375953652427,0.6020070229146114,0.8221522358953008,0.9959275921500225,0.6723933303480106,0.8421289779072342,0.9990427994092487,0.5986379392181875,0.8349096665824473,0.1590490676356947,0.24713299266872105,0.6174083407417342,0.6712948865361634,0.4197554291076941
7,39093,-4.0621042606,42.89408220333333,06,39,093,Valdeprado del RÃ­o,2,Campoo-Los Valles,0.8443509615384616,0.5288461538461539,0.7047624711538462,0.0,34.415546,10.039598,0.7687239188407621,0.4648498539364782,0.598611815683838,0.9980971252076896,0.42695331417994337,0.7392412708185503,0.9988481319703147,0.5365920434946165,0.7910022385313672,0.9906984492951387,0.48907494857728073,0.7488446168580748,0.13831332231146598,0.27400729776361915,0.268043195507446,0.29970687220927295,0.0
2,39094,-3.9678891954615385,42.83420912365385,06,39,094,Valderredible,2,Campoo-Los Valles,0.8864182692307693,0.5252403846153846,0.7490124603365385,0.0,44.866497,9.300841,0.5530746887167054,0.0,0.29685765418631466,0.9886433479156835,0.3495684608476188,0.6214478883748532,0.936929976135762,0.0,0.44775972504678163,0.9395927373548029,0.0,0.41767396524868894,0.0,0.0,0.3708091365102551,0.43699069486825615,0.46103104171674353
