CODMUN,LONGITUD_E,LATITUD_ET,CODAUTO,CPRO,CMUN,NOMBRE,COMARCA,NOMBRE_COMARCA,MINMDT,MAXMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,MEANDISFERR,STDDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
39027,-4.1279202735,42.99275126375,06,39,027,Campoo de Enmedio,2,Campoo-Los Valles,0.7782608695652173,0.6517509727626459,0.7648738908502527,0.419843567026494,0.0,0.607147955864869,0.45445972300479953,0.6279442654867144,0.04103129351769509,0.23758346788241833,0.16708860909009834,0.4103533516265792,0.0016487537591891,0.1828215479882293,0.11455586653029046,0.172810849625497,0.0021443755400500286,0.11764979527363294,0.07591843367468779,0.11163619191939814,0.012183795687048542,0.16838249470728925,0.18232044479931012,0.13251431797578941,0.7377490122198289,0.30638885295192947,0.36629566836277055,0.32534987304438656,0.5446078442705065
39017,-4.001016717571429,43.02056514071428,06,39,017,Campoo de Yuso,2,Campoo-Los Valles,0.825,0.5919260700389105,0.7200521617873262,0.3195587818446078,0.0,0.5835616510148879,0.2819167400157816,0.5364897609474638,0.26282464332227123,0.6171394857852479,0.5189066368501737,1.0,0.01422241706427719,0.3702196877440348,0.45957536283703004,0.36125338981881855,0.33078510900325087,0.6047467195209292,0.5710395158039427,0.5733441250111899,0.4985074793301493,0.3853974837260537,0.5040332343941333,0.2695048205047373,0.6770275955212457,0.24933859200570307,0.3527823763691996,0.9281942545768602,0.5222241227483262
39032,-4.229098387625,43.01432907791667,06,39,032,Hermandad de Campoo de Suso,2,Campoo-Los Valles,0.7891304347826087,1.0,1.0,1.0,0.0,0.7914481539820476,0.720531831273902,0.8043135152433524,0.1103010547764238,0.6217083044207562,0.4242428046560076,0.9998857794054508,0.2785663257327444,1.0,1.0,1.0,0.26005506872154704,0.7818801445782498,0.6329132160432807,0.7414686827096703,0.3497791082100016,0.8853925775547703,0.7237154527349253,0.8503730878756173,0.7199020686509626,0.7349378835651573,0.5521094369244569,0.7956900048218329,0.8257326480163903
39051,-4.075962222,43.08083049,06,39,051,Pesquera,2,Campoo-Los Valles,0.5489130434782609,0.47324902723735407,0.5680835130000325,0.3414054540033615,1.0,0.8553331754645394,1.0,1.0,0.6244044568799462,0.33532472509203615,0.44142301880041335,0.09666997770059582,0.006560150704894179,0.010877096531170406,0.0,0.016194335203655975,0.004829411048538403,0.0487273753164848,0.026601175031435213,0.04640605866762331,0.0008824069563048897,0.013964331440634411,0.025804087019428264,0.003587700688142079,0.5364587493921711,0.5085957375912227,1.0,0.8658556733516184,0.3578824290592701
39059,-4.137972222,43.00105556,06,39,059,Reinosa,2,Campoo-Los Valles,0.925,0.39299610894941633,0.6682956798490398,0.0,0.0,0.0,0.0,0.0,0.0020787508241768525,0.0,0.0,0.0,0.03779578663084601,0.0,0.009788752440982037,0.0,0.01345696844345781,0.0,0.0,0.0,0.006782478733886796,0.0,0.0,0.0,0.7218115198709468,0.0,0.004249045843440194,0.0,0.0
39065,-4.01681421475,42.971345525,06,39,065,"Rozas de Valdearroyo, Las",2,Campoo-Los Valles,0.8858695652173914,0.5034046692607004,0.7043912471428339,0.18912670900397915,0.0,0.45908465319778374,0.29738606072297813,0.4912776646940588,0.33726214257088233,0.4313193695240683,0.4174085776286683,0.5100844167464785,1.0,0.4718530102761401,0.7559376501055579,0.32978352700084684,1.0,0.4230387031635914,0.5413912696536552,0.3094935988892907,1.0,0.4492938472039808,0.6111971219475861,0.2872398220660554,0.789971711062809,0.1740663446960043,0.7137314024092053,0.8311916164404695,0.3385660493493881
39070,-4.0296227065,43.0634419525,06,39,070,San Miguel de Aguayo,2,Campoo-Los Valles,0.7847826086956522,0.5933852140077821,0.7510162411707304,0.31796717179324163,0.0,0.6527177498540034,0.6469129016074231,0.6485545860742766,0.5900467101185889,0.48403734402122905,0.525244977878482,0.42604977506625197,0.31821303016108127,0.2724607039221559,0.40110731814269784,0.246468977724578,0.5889310831517948,0.3189511146229182,0.3569960676957105,0.24847127208118427,0.32816420035052735,0.3198067766307539,0.342708163870094,0.2673528612642454,0.5771901579567227,0.43494304851829413,0.633472507349214,1.0,0.3467937525857265
39077,-4.08130293575,43.057251915,06,39,077,Santiurde de Reinosa,2,Campoo-Los Valles,0.6239130434782608,0.5578793774319066,0.6796423512855442,0.4370985991972027,0.4472263011910589,0.7983649381170891,0.8494224960996817,0.7480141854370412,0.3405429934028409,0.29175233956076496,0.3248524491382373,0.24518814157880062,0.0040536772865454734,0.1798437195662743,0.08114642501739419,0.18651916786221615,0.006041106256945118,0.08664240893782404,0.04409802681208395,0.08833295566093606,0.0013617736205552124,0.13542289999856827,0.09696166578821365,0.11616409722771834,0.5834522119138683,0.535112930144505,0.7673534588286574,0.6170805504570503,0.3016614764060993
39092,-4.1855281820000005,42.9057520415,06,39,092,Valdeolea,2,Campoo-Los Valles,1.0,0.6945525291828794,0.7979680313411356,0.28063941606884696,0.0,0.45143108210109273,0.32343202317903363,0.43173491107964745,0.40072107071240687,0.5105476070647132,0.46202510012262094,0.6020779897789327,0.00804368189160572,0.3283793937382074,0.28508829882426323,0.3478340672134391,0.029896678376941696,0.2783445920237302,0.23692491946451716,0.2599829665488227,0.005414688159418864,0.33344084211775754,0.22929514282496744,0.36968621080070413,0.9262741962801408,0.752867007331279,0.38521505560219976,0.32870511346383646,0.580244570892306
39093,-4.0621042606,42.89408220333333,06,39,093,Valdeprado del RÃ­o,2,Campoo-Los Valles,0.8304347826086956,0.5719844357976653,0.769753359575533,0.3059397503564181,0.0,0.6044039163821456,0.49479379752342395,0.48144373732589346,0.518485653696188,0.5101159164399571,0.5552998598950667,0.46160319083947327,0.012117352367585455,0.5236755838383502,0.48240897544521744,0.557593577605099,0.009994029004433717,0.4240951946020839,0.3358513456090047,0.40972655779654543,0.044924631571279135,0.4554348054005378,0.38827183547985783,0.452367652588213,0.9358860696000193,0.7259927022363809,0.7330957323182873,0.7002931277907269,1.0
39094,-3.9678891954615385,42.83420912365385,06,39,094,Valderredible,2,Campoo-Los Valles,0.7543478260869565,0.5749027237354085,0.7104875061454172,0.3672740308073673,0.0,0.862762674724551,0.4496221361361612,0.5873240127982579,1.0,1.0,1.0,0.9482144108906975,0.06412697496761563,0.6100088991191384,0.7627466835366024,0.6082298278258582,0.4319486747877241,1.0,1.0,1.0,0.28690678226880434,1.0,1.0,1.0,1.0,1.0,0.6307664485099435,0.5630093051317437,0.5389689582832566
